cov1,cov2,cov3,cov4,cov5,cov6,cov7,sal_pur_rat,igst_itc_tot_itc_rat,lib_igst_itc_rat
0.9981326,0.97688663,-0.21293779,-0.36099935,0.44349587,0.93009406,0.16784117,-0.03529284,-0.9870693,-0.054404337
0.9977856,0.9824649,0.53990966,0.67701775,0.65479773,0.83875316,0.91910934,-0.03530557,1.5295821,-0.054416895
0.9810229,0.9075868,0.54692006,0.45239553,0.42297512,0.6263476,0.11912108,-0.033694398,-0.84700525,-0.0514707
0.9917632,0.9534924,0.7788457,0.75799924,0.55059546,0.61303157,0.5086471,-0.035206784,-0.25645047,-0.054166723
0.9228205,0.8254734,0.29762802,0.29888883,0.34753454,0.58584446,0.4683774,0.0027951126,0.3539249,0.005818583
0.98641336,0.9292884,-0.22551052,-0.29662105,0.35727853,0.8297619,0.27375224,-0.033637635,-0.5630812,-0.05151059
0.96417415,0.8746765,0.5025358,0.43993,0.38117108,0.5754419,0.22450823,-0.028642625,-0.5491562,-0.043546446
0.9825144,0.9245764,0.72892916,0.7008742,0.49281815,0.53195006,0.44401878,-0.034753624,-0.17081916,-0.053094726
0.9590546,0.8660064,-0.047762893,-0.117364354,0.3256804,0.7286827,0.22249699,-0.0152562745,-0.43331966,-0.024594659
0.96436715,0.8692816,0.14797252,0.01185063,0.3165164,0.6754929,0.08890827,-0.027067274,-0.7629076,-0.04003112
0.8201875,0.69002604,0.12189258,0.08408938,0.23996067,0.4865604,0.23012044,0.3242252,0.01784517,0.40041637
0.97966725,0.8996346,-0.1150765,-0.2519742,0.3225644,0.80448705,0.13716803,-0.031968504,-0.7594969,-0.048884086
0.9246116,0.8027115,-0.011929362,-0.11773255,0.27013943,0.6558237,0.16412427,0.021470968,-0.4823137,0.024110131
0.94952446,0.8230923,0.32325357,0.22457707,0.34165096,0.60364974,0.16726215,-0.0062048538,-0.5470219,-0.012667407
0.99959284,0.9907194,0.6696371,0.50290245,0.5941562,0.8895077,0.025194718,-0.035312988,-1.0537224,-0.054446753
0.9384381,0.84307003,-0.07594975,-0.051880732,0.32235438,0.7020281,0.5049235,0.011754796,0.5208761,0.020957977
0.9829752,0.9287622,0.103899755,0.28447294,0.4732763,0.7695901,0.87415904,-0.03425608,1.5556024,-0.051662795
0.9999143,0.99849355,0.88378966,0.915131,0.8091141,0.91313714,0.9531167,-0.035313297,1.3149923,-0.05444773
0.9790198,0.9273407,0.33885458,0.45207325,0.4632601,0.69774383,0.83513594,-0.034518152,1.4187301,-0.052217606
0.9800496,0.91756386,-0.12075026,-0.00059080415,0.41994095,0.8090274,0.8190991,-0.03330136,1.3207499,-0.049662653
0.97625554,0.89149916,0.37715182,0.23268488,0.37704054,0.6688819,0.08235561,-0.03162793,-0.8612145,-0.04807842
0.97701406,0.88267535,0.2796195,0.14883542,0.3742616,0.7177075,0.13289009,-0.029866464,-0.783629,-0.046038922
0.98313695,0.9147435,-0.13899909,-0.26303762,0.3369468,0.82041806,0.18350403,-0.032854624,-0.7382597,-0.05043957
0.98379636,0.93652344,-0.16684909,-0.013212894,0.4402637,0.82507217,0.8334254,-0.03350732,1.3345509,-0.050077103
0.97572756,0.8884268,0.60614115,0.5325853,0.42841652,0.557135,0.17434362,-0.03307082,-0.72969574,-0.04997408
0.9452117,0.8502639,0.19229487,0.15074787,0.32544672,0.65719926,0.23786028,0.0009570476,-0.3068023,-0.0069221384
0.96546096,0.87805396,-0.04124456,-0.15128368,0.313195,0.7544522,0.17935675,-0.023549438,-0.6201977,-0.03708886
0.99615484,0.97401,0.7730725,0.78611505,0.62073565,0.7212169,0.72653,-0.035293985,0.4704981,-0.05438332
0.9888144,0.93709487,0.7120514,0.6691945,0.49937308,0.5654213,0.18238503,-0.03500178,-0.8228476,-0.053733025
0.98538536,0.92013717,-0.22532862,-0.32573536,0.34242475,0.83974826,0.2183547,-0.0337755,-0.7071328,-0.051686022
0.99948984,0.9927761,0.9210948,0.911192,0.7479412,0.7548517,0.8251853,-0.03531321,0.38942134,-0.054447204
0.8466218,0.7036428,0.07790623,0.017721063,0.24506901,0.53623986,0.20893958,0.2916891,-0.09574308,0.34571078
0.87293595,0.7397645,0.06366017,-0.0015492423,0.2541858,0.56575376,0.1937491,0.18923804,-0.13863863,0.22640309
0.9992055,0.9920118,0.7829252,0.8123374,0.6966124,0.8529392,0.7454868,-0.035311893,-0.15207538,-0.054443244
0.9595312,0.870536,0.4627339,0.46299788,0.4023429,0.5882681,0.4080028,-0.02436304,-0.048248768,-0.03683487
0.99936074,0.99261385,0.30369928,0.59774166,0.707046,0.9116466,0.99164474,-0.035313226,2.086078,-0.054447033
0.9932466,0.94966936,-0.18793476,-0.33994427,0.36791226,0.8802737,0.16776158,-0.035044387,-0.8996278,-0.05395485
0.9685864,0.88035,-0.122632414,-0.23900726,0.30628437,0.76551926,0.17139037,-0.027625723,-0.6428106,-0.04219165
0.999291,0.9910014,-0.37768063,-0.009604718,0.62491125,0.9501058,0.98826665,-0.03531263,2.0535333,-0.054443527
0.9940407,0.9625586,-0.21541049,0.02202401,0.50817513,0.8786961,0.9347139,-0.035152994,1.7372652,-0.053925127
0.9933664,0.9506101,-0.2623598,-0.38542432,0.37851682,0.88347465,0.20387535,-0.03503178,-0.83900064,-0.05389826
0.9128814,0.7896239,0.104410715,0.028633267,0.2714848,0.58083975,0.16713823,0.03074848,-0.42615744,0.03926824
0.9283526,0.8089655,0.37341353,0.30567637,0.32323688,0.5498595,0.23184128,0.010070658,-0.26994765,0.00886239
0.99464464,0.96420306,-0.33747885,-0.13591427,0.4984666,0.8987789,0.9171997,-0.035150357,1.6018633,-0.053905215
0.929808,0.83842224,-0.031388678,-0.016387368,0.30823982,0.678586,0.38587016,0.038983144,0.2368035,0.045831773
0.9701586,0.88354003,-0.19193643,-0.2166955,0.32401806,0.7764042,0.30686456,-0.02302137,-0.11792749,-0.03647638
0.9994626,0.9930688,0.6909906,0.8012872,0.7272128,0.88517165,0.97457594,-0.035313252,1.9068072,-0.05444734
0.9997923,0.9941977,0.9450236,0.9149964,0.7357671,0.7311114,0.3344891,-0.03531328,-0.9942623,-0.054447625
0.9797531,0.9274744,0.6520577,0.6350722,0.47785395,0.5737555,0.37510228,-0.0344819,-0.3565734,-0.052565545
0.9562887,0.8702424,0.17292859,0.20718788,0.38207623,0.6996889,0.5528474,-0.017600793,0.41130427,-0.026277939
0.9969899,0.9819924,0.65141153,0.735789,0.6306501,0.80284655,0.8744552,-0.03530674,1.2823538,-0.05442204
0.9730627,0.8908735,0.5319359,0.47057304,0.4107163,0.6047407,0.20204322,-0.031951707,-0.6250882,-0.04860047
0.9854547,0.93662316,-0.09080025,0.029221345,0.4412512,0.8370982,0.7874953,-0.03316913,1.1043955,-0.050132878
0.9170037,0.8136458,-0.090165585,-0.057645123,0.2876278,0.6565639,0.44201896,0.050343763,0.41000688,0.07223644
0.970397,0.8936253,-0.16798626,-0.2367591,0.309289,0.7721396,0.23987019,-0.026805323,-0.44325542,-0.041396506
0.9780196,0.90712243,-0.17856647,-0.24780238,0.32907775,0.79256344,0.22572877,-0.030506738,-0.5862641,-0.04667533
0.95317507,0.8585361,0.47353113,0.4611959,0.39885244,0.58472663,0.46696812,-0.022761887,0.20433512,-0.033620544
0.85536313,0.71959805,0.06666274,0.007958248,0.26392496,0.53294194,0.24025312,0.2001742,-0.00992725,0.2773188
0.975569,0.91640854,0.59250957,0.58714473,0.46229267,0.62397534,0.50573784,-0.03385855,0.028243136,-0.0513732
0.998866,0.9835814,0.87611854,0.8398735,0.6477117,0.67178744,0.22158125,-0.035311803,-0.9748293,-0.054442436
0.9989926,0.99059385,0.8219157,0.84432334,0.69700503,0.81711066,0.830365,-0.03531266,0.6481586,-0.05444497
0.9826257,0.9085717,-0.061129928,-0.20190376,0.34706336,0.80241066,0.15209362,-0.032371655,-0.79176193,-0.049583595
0.9730963,0.8989343,0.644261,0.6250601,0.44546944,0.53573155,0.4431311,-0.0333065,-0.055984464,-0.05022075
0.8958572,0.7738837,0.016617551,-0.013619342,0.2634845,0.60498226,0.27410316,0.08686568,-0.023372216,0.11225519
0.9999526,0.9988172,0.7009774,0.8525351,0.834882,0.95291734,0.9942187,-0.0353133,2.0853689,-0.054447737
0.9568176,0.85226476,0.49452305,0.44057176,0.40077665,0.56950974,0.27222848,-0.018035198,-0.39842936,-0.028470254
0.9970714,0.97381693,-0.44484693,-0.43201983,0.4330246,0.9252035,0.48127514,-0.035203613,-0.36182493,-0.05421724
0.9721073,0.8990414,0.38188657,0.4531021,0.44978678,0.6504794,0.8220401,-0.034069322,1.3829031,-0.050859522
0.9570106,0.8779697,-0.03714751,0.04688065,0.36438832,0.7241835,0.70129997,-0.019786786,1.0435784,-0.026044747
0.91691965,0.7912623,0.2961514,0.23511446,0.301983,0.52748287,0.19843149,0.018783962,-0.3339796,0.023055814
0.98316103,0.92784244,0.6559977,0.6456226,0.5050211,0.6049602,0.5102066,-0.034374204,0.03151465,-0.052461576
0.9836502,0.92068523,0.48821044,0.46230093,0.44931132,0.7145138,0.34509096,-0.03320625,-0.5116557,-0.051030148
0.8882046,0.73693204,0.29772252,0.22067668,0.28406212,0.47733805,0.17029974,0.09085856,-0.3038125,0.12258538
0.9172433,0.7871545,0.2829552,0.2076218,0.31255928,0.5535428,0.18343687,0.048436143,-0.35423803,0.05970003
0.9952905,0.95974094,0.7570993,0.7011063,0.5465349,0.68750757,0.25304776,-0.035242826,-0.8471226,-0.05429153
0.99735004,0.98029923,0.44233453,0.61846286,0.6382454,0.8405181,0.9474603,-0.03530763,1.81291,-0.054419853
0.98042756,0.92744094,0.23632732,0.36921376,0.47707176,0.7341619,0.8739385,-0.034543607,1.591348,-0.052193116
0.99945384,0.9889613,0.8805941,0.8342575,0.66156626,0.7636414,0.18918197,-0.035312884,-1.0173135,-0.05444628
0.99194413,0.94480973,0.7303499,0.68558633,0.50981444,0.6220431,0.2641905,-0.035155162,-0.7158113,-0.054096624
0.9904441,0.938202,-0.194564,-0.32808614,0.34914228,0.8528941,0.16076027,-0.03472209,-0.8475052,-0.05340866
